,email_id,email_class,num_chars,num_newlines,num_special_chars,num_words,num_unique_words,num_sentences,num_upper_sentences,num_lower_sentences,avg_word_size,num_small_words,freq_small_words,num_big_words,freq_big_words,num_huge_words,freq_huge_words,avg_sentence_chars,avg_sentence_words,std_sentence_chars,std_sentence_words,min_sentence_chars,min_sentence_words,max_sentence_chars,max_sentence_words,words_to_chars,unique_words_to_words,special_chars_to_chars,dots_to_chars,commas_to_chars,questionmark_to_chars,exclamationmark_to_chars,chars_to_lines,alpha_tokens_to_words,words_to_lines,flesch_kincaid,flesch,gunning_fog,coleman_liau,dale_chall,automated_readability_index,linsear_write,spache,errors
940,2.0,0.0,3784.0,45.0,285.0,604.0,311.0,38.0,30.0,8.0,4.3427152317880795,262.0,0.4337748344370861,103.0,0.17052980132450332,0.0,0.0,97.5,15.894736842105264,96.42361307218651,8.077875807557756,22.0,4.0,631.0,42.0,0.15961945031712474,0.5149006622516556,0.0753171247357294,0.00872093023255814,0.012420718816067653,0.0005285412262156448,0.0029069767441860465,82.26086956521739,0.7296511627906976,13.130434782608695,7.802370370370369,69.4880614035088,9.890448343079923,7.769718518518516,9.079108187134503,7.666201169590643,10.513157894736842,6.36316081871345,23.0
941,3265.0,1.0,138.0,5.0,10.0,17.0,15.0,1.0,1.0,0.0,6.705882352941177,2.0,0.11764705882352941,8.0,0.47058823529411764,0.0,0.0,138.0,17.0,0.0,0.0,138.0,17.0,138.0,17.0,0.12318840579710146,0.8823529411764706,0.07246376811594203,0.0,0.007246376811594203,0.0,0.0,23.0,0.8260869565217391,2.8333333333333335,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,3.0
942,213.0,1.0,260.0,6.0,13.0,43.0,33.0,3.0,3.0,0.0,4.813953488372093,12.0,0.27906976744186046,7.0,0.16279069767441862,0.0,0.0,86.0,14.333333333333334,14.7648230602334,5.185449728701348,67.0,7.0,103.0,18.0,0.16538461538461538,0.7674418604651163,0.05,0.007692307692307693,0.0,0.0,0.0,37.142857142857146,0.7730769230769231,6.142857142857143,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,3.0
943,313.0,0.0,317.0,25.0,26.0,45.0,39.0,1.0,0.0,1.0,4.622222222222222,12.0,0.26666666666666666,7.0,0.15555555555555556,0.0,0.0,317.0,45.0,0.0,0.0,317.0,45.0,317.0,45.0,0.14195583596214512,0.8666666666666667,0.08201892744479496,0.006309148264984227,0.01892744479495268,0.0,0.0,12.192307692307692,0.45110410094637227,1.7307692307692308,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,5.0
944,3193.0,1.0,1229.0,23.0,65.0,168.0,102.0,15.0,15.0,0.0,5.261904761904762,51.0,0.30357142857142855,47.0,0.27976190476190477,0.0,0.0,78.86666666666666,11.2,59.89420302129042,8.255906976220118,20.0,1.0,227.0,31.0,0.13669650122050447,0.6071428571428571,0.05288852725793328,0.012205044751830757,0.008136696501220505,0.0,0.0,51.208333333333336,0.7225386493083807,7.0,8.532476190476192,53.832190476190476,11.523809523809526,13.582857142857144,10.62139523809524,9.971904761904764,7.1,6.317142857142857,19.0
945,2847.0,0.0,189.0,8.0,72.0,21.0,19.0,1.0,1.0,0.0,4.333333333333333,11.0,0.5238095238095238,4.0,0.19047619047619047,0.0,0.0,189.0,21.0,0.0,0.0,189.0,21.0,189.0,21.0,0.1111111111111111,0.9047619047619048,0.38095238095238093,0.015873015873015872,0.0,0.0,0.0,21.0,0.48148148148148145,2.333333333333333,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,0.0
946,1018.0,1.0,593.0,11.0,74.0,84.0,60.0,6.0,5.0,1.0,5.071428571428571,25.0,0.2976190476190476,24.0,0.2857142857142857,0.0,0.0,98.0,14.0,58.22370651203855,7.916228058025278,39.0,7.0,179.0,27.0,0.14165261382799327,0.7142857142857143,0.12478920741989882,0.008431703204047217,0.008431703204047217,0.0,0.0016863406408094434,49.416666666666664,0.715008431703204,7.0,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,5.0
947,558.0,0.0,658.0,34.0,43.0,98.0,67.0,5.0,4.0,1.0,4.204081632653061,42.0,0.42857142857142855,16.0,0.16326530612244897,0.0,0.0,130.2,19.6,90.74006832706264,11.84229707446997,54.0,9.0,262.0,36.0,0.14893617021276595,0.6836734693877551,0.06534954407294832,0.010638297872340425,0.004559270516717325,0.001519756838905775,0.0,18.8,0.6960486322188449,2.8,9.078,70.31998305084747,11.134915254237288,7.811186440677968,12.434432881355933,10.28771186440678,13.6,8.68524406779661,9.0
948,3244.0,1.0,1454.0,42.0,84.0,203.0,74.0,6.0,4.0,2.0,5.142857142857143,63.0,0.3103448275862069,61.0,0.30049261083743845,0.0,0.0,239.5,33.833333333333336,106.90143435270953,12.307405178274673,106.0,18.0,418.0,48.0,0.13961485557083905,0.3645320197044335,0.0577716643741403,0.0041265474552957355,0.002751031636863824,0.0,0.0,33.81395348837209,0.7200825309491059,4.720930232558139,18.14634218289085,29.350235988200637,19.314454277286135,12.371858407079646,12.491492330383482,20.599041297935102,25.333333333333332,10.944690265486726,33.0
949,1543.0,1.0,497.0,9.0,39.0,68.0,53.0,4.0,4.0,0.0,5.588235294117647,17.0,0.25,23.0,0.3382352941176471,0.0,0.0,123.5,17.0,78.7416662257029,10.319883720275147,22.0,4.0,217.0,31.0,0.13682092555331993,0.7794117647058824,0.07847082494969819,0.012072434607645875,0.01006036217303823,0.0,0.0,49.7,0.7525150905432596,6.800000000000001,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,9.0
